"","album_release_year","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","explicit","track_name","external_urls.spotify","album_name","key_name","mode_name","key_mode"
"110",2007,0.439,0.808,1,-6.881,1,0.346,0.00305,0,0.439,0.487,82.962,207000,TRUE,"Good Life","https://open.spotify.com/track/4ZPdLEztrlZqbJkgHNw54L","Graduation","C#","major","C# major"
"111",2007,0.596,0.62,5,-6.133,0,0.039,0.0122,0,0.82,0.102,80.029,271600,TRUE,"Can't Tell Me Nothing","https://open.spotify.com/track/0mEdbdeRFQwBhN4xfyIeUM","Graduation","F","minor","F minor"
"112",2007,0.48,0.624,1,-6.131,1,0.382,0.0451,0,0.337,0.704,165.057,204306,TRUE,"Barry Bonds","https://open.spotify.com/track/7387VaiHpOsSIZ5nmjseya","Graduation","C#","major","C# major"
"113",2007,0.661,0.442,10,-7.297,0,0.0285,0.0697,1.15e-05,0.136,0.299,82.758,313226,TRUE,"Drunk and Hot Girls","https://open.spotify.com/track/7DRuzSlhjKadgdsQRYZ0tr","Graduation","A#","minor","A# minor"
"114",2007,0.639,0.628,6,-7.578,0,0.0399,0.0381,0,0.386,0.43,90.482,237506,TRUE,"Flashing Lights","https://open.spotify.com/track/5TRPicyLGbAF2LGBFbHGvO","Graduation","F#","minor","F# minor"
"115",2007,0.631,0.623,8,-6.969,1,0.265,0.463,1.7e-06,0.151,0.765,80.23,227893,TRUE,"Everything I Am","https://open.spotify.com/track/0NrtwAmRAdLxua31SzHvXr","Graduation","G#","major","G# major"
"116",2007,0.423,0.643,6,-7.261,1,0.287,0.0455,0,0.172,0.708,84.336,212706,TRUE,"The Glory","https://open.spotify.com/track/0lWjRSzq5chA9fps3pM8Zr","Graduation","F#","major","F# major"
"117",2007,0.667,0.747,1,-7.059,1,0.189,0.337,0,0.115,0.918,86.917,203493,TRUE,"Homecoming","https://open.spotify.com/track/4iz9lGMjU1lXS51oPmUmTe","Graduation","C#","major","C# major"
"118",2007,0.498,0.742,11,-6.248,0,0.259,0.214,0,0.0642,0.302,78.428,287560,TRUE,"Big Brother","https://open.spotify.com/track/2L47m9erkB5KBZcaqWtYen","Graduation","B","minor","B minor"
"119",2007,0.696,0.526,11,-10.504,0,0.171,0.177,0,0.192,0.703,88.931,185973,TRUE,"Good Night","https://open.spotify.com/track/3bhyo2ED5Yd4RLydQBDtD6","Graduation","B","minor","B minor"
"120",2006,0.353,0.884,7,-4.676,1,0.388,0.32,0,0.706,0.322,84.032,247600,TRUE,"Diamonds From Sierra Leone","https://open.spotify.com/track/0gBPIT136F1kfN5F40d2h2","Late Orchestration","G","major","G major"
"121",2006,0.697,0.768,11,-6.658,0,0.283,0.256,0,0.921,0.391,106.67,246453,TRUE,"Touch The Sky","https://open.spotify.com/track/0Xvbqfjc2sivTVj9SHIOIR","Late Orchestration","B","minor","B minor"
"122",2006,0.536,0.721,2,-6.951,1,0.369,0.0255,0,0.548,0.173,82.53,167853,TRUE,"Crack Music","https://open.spotify.com/track/1Afi8OBrtXj9iNWK0UiQqt","Late Orchestration","D","major","D major"
"123",2006,0.538,0.786,3,-6.528,0,0.333,0.177,0,0.116,0.541,87.707,273760,TRUE,"Drive Slow","https://open.spotify.com/track/0hk24xUpnTjJdXUQQEPQLe","Late Orchestration","D#","minor","D# minor"
"124",2006,0.432,0.804,7,-6.667,1,0.332,0.00435,0,0.28,0.646,80.303,212773,TRUE,"Through The Wire","https://open.spotify.com/track/5FRNP7NPI6DWvAkSJeH2eY","Late Orchestration","G","major","G major"
"125",2006,0.634,0.74,2,-6.606,1,0.181,0.0102,0,0.655,0.335,117.872,171666,TRUE,"Workout Plan","https://open.spotify.com/track/6BMWL1t7ED3UwULK9CiO7g","Late Orchestration","D","major","D major"
"126",2006,0.496,0.769,10,-8.449,1,0.234,0.646,4.36e-06,0.972,0.196,94.344,249533,TRUE,"Heard 'Em Say","https://open.spotify.com/track/3CVu4NHRrnMzTP6ybDbyrk","Late Orchestration","A#","major","A# major"
